Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,36.480000,37.119999,36.180000,37.070000,35.441666,77000
2015-03-03,36.840000,37.270000,36.490002,36.810001,35.193085,62100
2015-03-04,36.799999,37.340000,35.830002,36.520000,34.915817,46800
2015-03-05,36.610001,37.139999,36.090000,36.919998,35.298252,56900
2015-03-06,36.340000,36.680000,35.389999,36.279999,34.686367,92100
2015-03-09,36.570000,37.160000,36.570000,36.770000,35.154842,61800
2015-03-10,36.099998,36.330002,35.919998,36.209999,34.619450,56300
2015-03-11,36.150002,36.700001,35.930000,36.630001,35.020985,82600
2015-03-12,37.049999,37.290001,36.439999,36.619999,35.011433,62900
2015-03-13,36.439999,36.980000,35.860001,36.720001,35.107044,93600
2015-03-16,36.709999,37.049999,36.099998,36.790001,35.173965,72800
2015-03-17,36.439999,37.590000,36.439999,37.330002,35.690239,120300
2015-03-18,37.070000,38.270000,36.849998,37.990002,36.321251,60100
2015-03-19,37.790001,37.790001,37.230000,37.720001,36.063107,51300
2015-03-20,37.980000,39.570000,37.439999,39.090000,37.372948,262900
2015-03-23,39.250000,39.410000,38.130001,38.689999,36.990501,149700
2015-03-24,38.660000,38.970001,38.230000,38.730000,37.028748,103800
2015-03-25,38.959999,38.990002,38.020000,38.200001,36.522034,73400
2015-03-26,38.290001,38.470001,37.660000,37.930000,36.263889,72000
2015-03-27,37.810001,38.029999,37.320000,37.860001,36.196957,71600
2015-03-30,37.900002,38.709999,37.900002,38.430000,36.741913,55200
2015-03-31,38.000000,38.570000,37.509998,38.430000,36.741913,63100
2015-04-01,38.150002,38.970001,38.119999,38.939999,37.229527,54700
2015-04-02,38.750000,39.959999,38.750000,39.799999,38.051750,52200
2015-04-06,39.529999,39.990002,39.310001,39.720001,37.975262,78800
2015-04-07,39.619999,39.770000,38.880001,38.990002,37.277328,59400
2015-04-08,39.150002,39.180000,38.580002,38.970001,37.258213,58100
2015-04-09,38.770000,38.869999,38.099998,38.639999,36.942707,41400
2015-04-10,38.540001,39.770000,38.169998,39.650002,37.908340,115400
2015-04-13,39.700001,40.169998,39.290001,40.080002,38.319458,56800
2015-04-14,40.220001,40.400002,39.540001,40.150002,38.386379,68000
2015-04-15,40.279999,40.950001,40.009998,40.480000,38.701885,76100
2015-04-16,40.470001,40.549999,39.240002,39.889999,38.137791,86900
2015-04-17,39.439999,40.250000,39.090000,39.990002,38.233410,126400
2015-04-20,40.090000,41.849998,39.450001,40.500000,38.720997,175500
2015-04-21,40.500000,40.500000,39.840000,40.139999,38.376812,96500
2015-04-22,40.310001,40.310001,39.799999,40.139999,38.376812,67500
2015-04-23,40.130001,40.599998,40.040001,40.369999,38.596706,149800
2015-04-24,40.299999,40.639999,39.889999,40.259998,38.491539,78900
2015-04-27,40.259998,41.209999,39.779999,40.669998,38.883530,124400
2015-04-28,40.669998,41.660000,40.360001,41.310001,39.495419,101800
2015-04-29,40.750000,41.349998,39.910000,40.000000,38.242970,149200
2015-04-30,39.790001,41.450001,39.689999,39.990002,38.233410,328400
2015-05-01,40.169998,40.759998,38.639999,39.110001,37.392067,143500
2015-05-04,39.180000,39.590000,38.660000,39.430000,37.697994,163700
2015-05-05,39.470001,39.869999,38.740002,39.230000,37.506786,150400
2015-05-06,39.439999,39.470001,38.070000,38.130001,36.455105,138500
2015-05-07,38.090000,38.750000,37.610001,37.919998,36.254322,154500
2015-05-08,38.459999,38.669998,38.099998,38.340000,36.655876,100000
2015-05-11,38.410000,39.029999,38.369999,38.430000,36.741913,51900
2015-05-12,38.360001,38.639999,37.540001,38.500000,36.808846,96300
2015-05-13,38.950001,39.139999,38.430000,39.029999,37.315571,91300
2015-05-14,39.360001,39.980000,38.910000,39.240002,37.516350,112200
2015-05-15,39.270000,39.500000,38.340000,38.560001,36.866219,46700
2015-05-18,38.389999,38.709999,37.959999,38.389999,36.703678,66800
2015-05-19,38.240002,38.240002,37.139999,37.740002,36.167023,71800
2015-05-20,37.720001,37.990002,37.270000,37.700001,36.128696,71000
2015-05-21,37.799999,38.230000,37.509998,37.740002,36.167023,67500
2015-05-22,37.700001,38.040001,37.060001,37.810001,36.234108,62500
2015-05-26,37.630001,37.689999,36.660000,37.080002,35.534527,70800
2015-05-27,37.090000,37.509998,36.720001,37.369999,35.812439,54200
2015-05-28,37.290001,37.500000,36.930000,37.439999,35.879524,40900
2015-05-29,37.369999,37.740002,37.070000,37.189999,35.639942,89400
2015-06-01,37.410000,37.770000,36.919998,37.540001,35.975357,69300
2015-06-02,37.480000,38.509998,37.480000,38.270000,36.674938,113900
2015-06-03,38.290001,38.959999,38.160000,38.389999,36.789928,94100
2015-06-04,38.160000,38.439999,37.220001,37.299999,35.745358,78200
2015-06-05,37.200001,37.240002,36.650002,37.220001,35.668705,117900
2015-06-08,37.099998,37.500000,36.880001,37.240002,35.687862,54700
2015-06-09,37.310001,37.810001,36.970001,37.279999,35.726189,52600
2015-06-10,37.509998,38.599998,37.509998,38.000000,36.416187,84100
2015-06-11,37.939999,37.939999,37.160000,37.540001,35.975357,51900
2015-06-12,37.430000,37.770000,37.009998,37.599998,36.032860,39800
2015-06-15,37.240002,37.270000,36.580002,37.000000,35.457867,58900
2015-06-16,36.849998,37.700001,36.709999,37.130001,35.582447,73900
2015-06-17,37.070000,37.369999,36.820000,37.049999,35.505775,31500
2015-06-18,37.070000,37.830002,36.889999,37.490002,35.927444,65000
2015-06-19,37.610001,38.630001,37.380001,37.470001,35.908276,109600
2015-06-22,37.630001,38.029999,37.160000,37.840000,36.262859,83900
2015-06-23,37.939999,38.099998,37.639999,38.049999,36.464092,120100
2015-06-24,37.910000,38.430000,37.700001,38.169998,36.579102,85700
2015-06-25,38.299999,38.299999,37.279999,37.779999,36.205349,49600
2015-06-26,37.830002,38.990002,37.599998,38.910000,37.288261,328300
2015-06-29,38.650002,38.759998,36.560001,36.880001,35.342869,165900
2015-06-30,37.110001,37.119999,35.160000,35.250000,33.780804,154400
